timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,271,-7.18,3.03,0.02,0.0,0.0,0.0,0
0.5,272,15.15,-10.86,0.02,0.85,0.0,-0.117,0
0.5,273,6.69,-0.35,8.94,0.85,0.0,-0.367,0
0.5,274,10.4,-25.77,9.11,0.85,0.0,0.05,0
0.5,275,8.13,-33.13,9.12,0.85,0.0,0.0,0
0.5,276,-0.38,-1.85,9.11,0.85,0.0,0.038,0
0.5,277,-3.4,4.22,0.02,0.85,0.0,-0.198,0
0.5,278,-28.57,6.48,9.1,0.85,0.0,-0.099,0
0.5,279,36.32,-13.6,1.26,0.85,0.0,0.088,0
0.5,280,56.71,-19.38,8.82,0.85,0.0,0.003,0
0.5,281,72.16,-23.34,8.82,0.85,0.0,-0.001,0
1.0,271,-7.18,3.03,0.0,0.0,0.0,0.0,0
1.0,272,15.15,-10.86,0.0,0.85,0.0,-0.117,0
1.0,273,8.43,-1.57,21.0,0.0,0.7,-0.17,0
1.0,274,10.96,-23.67,21.37,0.85,0.0,0.016,0
1.0,275,8.73,-31.21,18.38,0.85,0.0,-0.0,0
1.0,276,-2.47,-1.21,21.37,0.85,0.0,0.018,0
1.0,277,-3.4,4.22,0.0,0.85,0.0,-0.198,0
1.0,278,-30.41,7.62,21.17,0.85,0.0,-0.127,0
1.0,279,35.57,-13.43,7.87,0.85,0.0,0.057,0
1.0,280,54.64,-18.83,21.19,0.85,0.0,-0.005,0
1.0,281,70.08,-22.8,21.19,0.85,0.0,0.0,0
1.51,271,-7.18,3.03,0.0,0.0,0.0,0.0,0
1.51,272,15.15,-10.86,0.0,0.85,0.0,-0.117,0
1.51,273,10.49,-3.46,16.69,0.0,0.7,-0.124,0
1.51,274,11.75,-20.1,29.99,0.017,0.0,0.07,0
1.51,275,9.68,-28.14,27.52,0.85,0.0,0.0,0
1.51,276,-5.98,-0.18,30.03,0.001,0.0,0.02,0
1.51,277,-3.4,4.22,0.0,0.85,0.0,-0.198,0
1.51,278,-33.19,9.94,29.95,0.039,0.0,-0.192,0
1.51,279,34.26,-13.19,11.18,0.85,0.0,0.051,0
1.51,280,51.12,-17.88,30.01,0.013,0.0,-0.001,0
1.51,281,66.58,-21.9,28.91,0.43,0.0,0.0,0
2.01,271,-7.18,3.03,0.0,0.0,0.0,0.0,0
2.01,272,15.15,-10.86,0.0,0.85,0.0,-0.117,0
2.01,273,11.73,-4.85,11.72,0.322,0.0,-0.108,0
2.01,274,12.2,-16.08,29.04,0.396,0.0,0.172,0
2.01,275,10.94,-24.42,26.57,0.292,0.0,-0.017,0
2.01,276,-9.89,0.9,29.15,0.347,0.0,0.003,0
2.01,277,-3.4,4.22,0.0,0.85,0.0,-0.198,0
2.01,278,-35.67,13.14,29.11,0.371,0.0,-0.261,0
2.01,279,32.51,-12.91,14.27,0.85,0.0,0.078,0
2.01,280,47.21,-16.79,29.14,0.352,0.0,-0.003,0
2.01,281,62.75,-20.91,27.81,0.555,0.0,0.001,0
2.51,271,-7.18,3.03,0.0,0.0,0.0,0.0,0
2.51,272,15.24,-11.51,9.79,0.85,0.0,-0.034,0
2.51,273,12.73,-6.16,11.81,0.167,0.0,-0.185,0
2.51,274,11.71,-12.08,28.97,0.415,0.0,0.272,0
2.51,275,12.21,-21.16,22.25,0.0,0.7,-0.122,0
2.51,276,-13.81,1.93,29.1,0.361,0.0,0.004,0
2.51,277,-2.81,3.94,9.78,0.85,0.0,-0.059,0
2.51,278,-37.25,16.85,29.1,0.365,0.0,-0.145,0
